Date,Open,High,Low,Close,Adj Close,Volume
1999-01-04,21.515625,21.921875,21.500000,21.781250,15.677537,7388000
1999-01-05,21.687500,22.718750,21.687500,22.265625,16.026175,13184400
1999-01-06,22.875000,23.062500,22.562500,22.921875,16.498533,13078800
1999-01-07,22.593750,23.187500,22.593750,22.875000,16.464792,11926400
1999-01-08,23.343750,23.500000,22.890625,23.437500,16.869656,12828400
1999-01-11,23.437500,23.750000,23.046875,23.750000,17.094585,10196000
1999-01-12,23.734375,23.734375,22.875000,23.062500,16.599749,6128400
1999-01-13,22.656250,24.125000,22.390625,23.375000,16.824671,13550400
1999-01-14,22.937500,23.234375,22.531250,22.593750,16.262350,10473600
1999-01-15,22.593750,23.531250,22.250000,23.156250,16.667215,12640400
1999-01-19,23.265625,23.468750,22.718750,23.250000,16.734697,9662800
1999-01-20,24.187500,25.703125,24.093750,24.906250,17.926817,24866400
1999-01-21,24.890625,25.093750,23.468750,24.031250,17.297024,19868000
1999-01-22,23.281250,23.640625,22.906250,23.250000,16.734697,13678800
1999-01-25,23.265625,23.609375,22.640625,23.406250,16.847160,7926800
1999-01-26,23.687500,24.625000,23.625000,24.531250,17.656910,10804400
1999-01-27,24.625000,24.875000,23.796875,23.828125,17.150818,10772800
1999-01-28,24.125000,24.281250,23.609375,23.937500,17.244919,8954400
1999-01-29,24.375000,25.218750,23.921875,24.718750,17.807745,12845200
1999-02-01,24.718750,25.000000,23.750000,23.750000,17.109842,8058000
1999-02-02,23.765625,24.312500,23.765625,24.234375,17.458790,10382400
1999-02-03,23.906250,25.562500,23.687500,25.406250,18.303034,11805200
1999-02-04,25.187500,25.187500,24.000000,24.000000,17.289951,11149600
1999-02-05,23.906250,23.968750,23.156250,23.656250,17.042305,14559200
1999-02-08,24.062500,24.218750,23.062500,23.812500,17.154863,13804000
1999-02-09,23.812500,23.812500,21.640625,21.734375,15.657761,12144000
1999-02-10,21.750000,22.812500,21.718750,22.156250,15.961687,14391200
1999-02-11,22.156250,23.812500,22.156250,23.765625,17.121096,13160000
1999-02-12,23.625000,23.687500,23.062500,23.343750,16.817169,8560400
1999-02-16,23.968750,24.218750,22.703125,22.750000,16.389423,8044400
1999-02-17,23.000000,23.921875,22.671875,22.718750,16.366911,10314000
1999-02-18,23.046875,23.437500,22.250000,23.015625,16.580784,12028800
1999-02-19,23.281250,23.812500,23.140625,23.250000,16.749636,6170400
1999-02-22,23.750000,24.906250,23.421875,24.718750,17.807745,8516800
1999-02-23,25.000000,25.406250,24.687500,25.000000,18.010355,12862400
1999-02-24,25.000000,26.234375,24.859375,25.500000,18.370564,13908000
1999-02-25,24.812500,25.046875,23.875000,24.062500,17.334976,12874400
1999-02-26,22.593750,22.953125,22.062500,22.296875,16.062986,24020400
1999-03-01,22.687500,23.484375,22.093750,23.062500,16.614557,16372800
1999-03-02,23.046875,23.656250,21.500000,21.625000,15.578961,19981600
1999-03-03,22.125000,23.000000,21.875000,22.968750,16.547022,16469600
1999-03-04,23.359375,24.000000,23.125000,23.125000,16.659578,16665600
1999-03-05,24.140625,25.250000,24.031250,25.156250,18.122919,15746800
1999-03-08,25.109375,26.250000,24.906250,26.250000,18.910875,11972000
1999-03-09,26.250000,26.968750,24.765625,24.765625,17.841515,23644800
1999-03-10,25.250000,25.625000,24.765625,25.500000,18.370564,12582400
1999-03-11,25.859375,25.859375,24.250000,24.546875,17.683922,15306000
1999-03-12,24.718750,25.125000,23.750000,24.875000,17.920309,13225200
1999-03-15,24.875000,25.312500,24.312500,24.859375,17.909052,9727200
1999-03-16,24.875000,26.609375,24.875000,26.062500,18.775803,17291200
1999-03-17,26.000000,26.296875,25.453125,25.718750,18.528158,10058000
1999-03-18,25.718750,26.421875,25.687500,26.156250,18.843340,8113600
1999-03-19,26.609375,26.609375,25.093750,25.156250,18.122919,10920000
1999-03-22,24.906250,25.375000,24.531250,25.187500,18.145430,10488000
1999-03-23,25.000000,25.046875,22.750000,22.812500,16.434450,35328400
1999-03-24,23.218750,23.859375,23.000000,23.671875,17.053562,21260800
1999-03-25,23.656250,25.250000,23.484375,24.625000,17.740204,17691200
1999-03-26,24.500000,24.921875,24.062500,24.078125,17.346230,7932000
1999-03-29,24.312500,25.281250,24.109375,25.234375,18.179207,8507200
1999-03-30,24.828125,25.625000,24.593750,24.640625,17.751467,7100000
1999-03-31,24.875000,25.453125,24.812500,24.812500,17.875277,7601600
1999-04-01,25.500000,25.937500,24.953125,25.906250,18.663240,10722400
1999-04-05,26.500000,27.937500,26.437500,27.687500,19.946476,15104400
1999-04-06,27.437500,28.484375,27.375000,27.843750,20.059038,13470800
1999-04-07,28.234375,28.718750,26.875000,28.171875,20.295424,13038000
1999-04-08,28.171875,28.171875,27.171875,27.515625,19.822651,10301600
1999-04-09,27.656250,27.781250,27.250000,27.656250,19.923971,6663200
1999-04-12,27.046875,27.125000,26.218750,26.703125,19.237320,11348400
1999-04-13,27.109375,27.312500,26.500000,26.531250,19.113495,6812400
1999-04-14,26.875000,27.250000,25.968750,26.046875,18.764540,9932400
1999-04-15,26.250000,27.125000,24.875000,27.125000,19.541243,13423200
1999-04-16,27.125000,27.609375,26.187500,27.468750,19.788887,9125200
1999-04-19,27.515625,27.750000,24.765625,26.250000,18.910875,12034400
1999-04-20,25.812500,26.218750,24.750000,25.000000,18.010355,21042000
1999-04-21,25.750000,27.500000,25.421875,27.187500,19.586271,16598800
1999-04-22,27.937500,28.218750,27.312500,27.546875,19.845165,11948000
1999-04-23,27.406250,27.500000,26.640625,27.140625,19.552498,8078000
1999-04-26,27.234375,28.125000,26.937500,27.937500,20.126577,6722400
1999-04-27,28.500000,28.734375,28.187500,28.562500,20.576845,10625600
1999-04-28,28.500000,28.812500,27.875000,27.968750,20.149092,12042000
1999-04-29,27.625000,27.828125,26.140625,26.531250,19.128029,11728800
1999-04-30,26.468750,26.656250,24.984375,25.531250,18.407063,14270800
1999-05-03,25.265625,26.890625,25.078125,26.796875,19.319534,9359200
1999-05-04,27.109375,27.171875,26.265625,26.375000,19.015385,8304800
1999-05-05,26.437500,26.984375,25.203125,26.984375,19.454716,10018800
1999-05-06,26.984375,27.234375,26.156250,26.406250,19.037910,8840400
1999-05-07,26.406250,26.937500,25.953125,26.500000,19.105501,6848400
1999-05-10,26.265625,26.750000,26.000000,26.093750,18.812613,5279200
1999-05-11,26.156250,27.093750,25.953125,26.968750,19.443455,7114800
1999-05-12,26.968750,28.500000,26.281250,28.468750,20.524899,10224400
1999-05-13,28.468750,29.468750,27.953125,28.000000,20.186941,12347600
1999-05-14,27.375000,27.578125,26.250000,26.500000,19.105501,14507200
1999-05-17,26.750000,27.531250,26.265625,27.531250,19.848989,6897200
1999-05-18,27.281250,28.687500,27.093750,28.531250,20.569948,10293200
1999-05-19,28.562500,29.375000,28.000000,29.343750,21.155741,10336800
1999-05-20,29.312500,29.312500,28.468750,28.593750,20.615007,8116800
1999-05-21,28.500000,28.531250,27.828125,28.250000,20.367180,8498400
1999-05-24,28.218750,28.968750,27.000000,27.375000,19.736334,11723600
1999-05-25,27.359375,27.937500,26.640625,26.656250,19.218147,8319200
1999-05-26,26.843750,27.781250,26.250000,27.640625,19.927851,10806400
1999-05-27,27.281250,27.906250,26.687500,26.781250,19.308270,10157200
1999-05-28,27.250000,27.500000,26.843750,27.343750,19.713810,4882800
1999-06-01,27.468750,27.562500,26.359375,26.656250,19.218147,7502000
1999-06-02,26.968750,27.984375,26.609375,27.734375,19.995436,10282000
1999-06-03,27.734375,28.218750,27.515625,27.843750,20.074295,7446400
1999-06-04,28.187500,29.828125,28.062500,29.718750,21.426096,10400000
1999-06-07,29.875000,30.437500,29.718750,30.015625,21.640135,11625200
1999-06-08,30.343750,30.750000,29.156250,29.250000,21.088148,13140400
1999-06-09,29.875000,30.843750,29.765625,30.843750,22.237185,11366800
1999-06-10,30.625000,31.500000,30.531250,31.437500,22.665260,11984400
1999-06-11,31.875000,32.000000,31.171875,31.906250,23.003201,12869200
1999-06-14,31.968750,32.359375,31.718750,32.312500,23.296099,11566400
1999-06-15,32.781250,33.843750,32.656250,33.671875,24.276140,13402800
1999-06-16,33.781250,33.781250,32.687500,33.390625,24.073374,12888000
1999-06-17,33.093750,33.890625,32.375000,33.375000,24.062113,12498000
1999-06-18,33.375000,33.375000,32.750000,33.187500,23.926935,6694400
1999-06-21,32.687500,34.593750,32.687500,34.125000,24.602839,11592400
1999-06-22,33.500000,35.156250,33.406250,33.781250,24.355009,13570800
1999-06-23,33.781250,34.812500,33.593750,34.703125,25.019640,9275600
1999-06-24,34.640625,34.640625,33.000000,33.156250,23.904404,12326800
1999-06-25,33.281250,33.906250,33.281250,33.875000,24.422600,8784800
1999-06-28,34.125000,34.859375,33.625000,34.718750,25.030910,9157600
1999-06-29,34.734375,35.250000,34.437500,34.953125,25.199879,10097600
1999-06-30,34.968750,36.250000,34.625000,36.000000,25.954647,13372400
1999-07-01,36.062500,36.109375,35.187500,35.375000,25.504045,9366800
1999-07-02,35.125000,35.500000,34.765625,35.421875,25.537840,8894400
1999-07-06,35.625000,36.109375,35.109375,35.500000,25.594162,10545200
1999-07-07,35.562500,36.437500,35.390625,36.343750,26.202475,10892000
1999-07-08,36.218750,36.921875,36.093750,36.875000,26.585472,7902800
1999-07-09,36.875000,37.031250,36.421875,36.640625,26.416512,5616000
1999-07-12,37.000000,37.328125,36.640625,36.937500,26.630545,6006800
1999-07-13,36.890625,36.937500,36.437500,36.578125,26.371443,6134400
1999-07-14,36.843750,37.500000,36.515625,37.500000,27.036081,7498800
1999-07-15,37.500000,38.312500,37.062500,38.312500,27.621866,7637600
1999-07-16,37.640625,38.671875,37.640625,38.546875,27.790831,12532800
1999-07-19,38.546875,38.843750,37.437500,37.484375,27.024818,9987200
1999-07-20,37.062500,37.234375,35.250000,35.250000,25.413908,15285600
1999-07-21,35.250000,35.906250,34.812500,35.000000,25.233677,17348800
1999-07-22,34.750000,35.453125,34.000000,34.000000,24.512714,12137200
1999-07-23,34.468750,35.062500,34.312500,34.750000,25.053436,10418400
1999-07-26,34.265625,34.312500,33.546875,33.812500,24.377535,11556800
1999-07-27,35.000000,35.875000,34.593750,35.781250,25.796923,14349200
1999-07-28,35.687500,37.375000,35.562500,37.140625,26.792904,13332000
1999-07-29,36.625000,36.921875,35.656250,35.812500,25.834797,12394400
1999-07-30,36.109375,36.750000,35.750000,36.000000,25.970066,8479200
1999-08-02,36.250000,36.312500,35.156250,35.250000,25.429024,8595600
1999-08-03,35.500000,35.656250,34.359375,35.312500,25.474108,9485200
1999-08-04,35.375000,35.859375,35.062500,35.062500,25.293764,7524400
1999-08-05,35.250000,35.421875,33.781250,34.906250,25.181038,12661200
1999-08-06,35.000000,35.921875,34.984375,35.625000,25.699543,8800000
1999-08-09,35.734375,35.968750,35.171875,35.375000,25.519196,7205200
1999-08-10,35.484375,35.640625,34.406250,34.625000,24.978157,9463200
1999-08-11,35.312500,36.625000,35.125000,36.562500,26.375858,13605600
1999-08-12,36.625000,37.250000,36.265625,36.312500,26.195499,11086000
1999-08-13,36.796875,37.578125,36.750000,37.578125,27.108511,11013600
1999-08-16,37.609375,38.375000,37.328125,37.890625,27.333948,10306400
1999-08-17,38.000000,38.000000,36.812500,37.687500,27.187405,6972600
1999-08-18,37.687500,37.875000,36.500000,36.500000,26.330755,5640600
1999-08-19,36.250000,36.781250,35.656250,36.218750,26.127871,5791200
1999-08-20,36.375000,37.312500,36.031250,37.093750,26.759090,4739000
1999-08-23,37.468750,38.718750,36.875000,38.250000,27.593201,6415200
1999-08-24,38.437500,39.687500,38.375000,39.687500,28.630192,8548600
1999-08-25,40.000000,40.750000,39.250000,40.750000,29.396666,10562200
1999-08-26,40.875000,41.000000,39.625000,39.718750,28.652744,5375400
1999-08-27,39.937500,40.593750,39.125000,39.750000,28.675276,7567200
1999-08-30,40.218750,40.531250,39.812500,40.187500,28.990883,6289200
1999-08-31,40.625000,41.781250,39.843750,41.031250,29.599554,8628200
1999-09-01,41.343750,41.593750,40.625000,40.875000,29.486843,7321200
1999-09-02,40.468750,42.875000,40.250000,42.375000,30.568924,9917600
1999-09-03,43.093750,44.000000,42.687500,43.937500,31.696110,8673800
1999-09-07,44.312500,45.875000,43.937500,45.812500,33.048710,10763600
1999-09-08,45.781250,46.343750,44.000000,44.437500,32.056812,14189600
1999-09-09,44.875000,45.062500,43.843750,44.500000,32.101894,9805400
1999-09-10,45.031250,45.750000,44.375000,45.312500,32.688030,8996200
1999-09-13,45.281250,45.531250,44.312500,44.500000,32.101894,5114800
1999-09-14,44.468750,46.687500,44.468750,45.781250,33.026146,8637200
1999-09-15,46.687500,46.718750,43.093750,43.375000,31.290325,12978600
1999-09-16,43.125000,44.093750,42.625000,43.812500,31.605930,11332400
1999-09-17,44.062500,45.031250,43.656250,44.937500,32.417503,8370600
1999-09-20,45.031250,45.031250,43.250000,44.250000,31.921522,7101400
1999-09-21,44.031250,44.593750,43.125000,43.437500,31.335398,9484400
1999-09-22,43.406250,43.593750,42.625000,43.312500,31.245230,11208000
1999-09-23,43.343750,43.343750,40.875000,41.500000,29.937702,9323800
1999-09-24,41.187500,42.125000,39.906250,41.937500,30.253315,15479000
1999-09-27,42.562500,43.562500,42.437500,42.656250,30.771809,8458000
1999-09-28,42.250000,43.625000,42.031250,43.250000,31.200144,7273200
1999-09-29,43.500000,43.718750,42.000000,42.093750,30.366026,5664200
1999-09-30,42.125000,42.125000,40.500000,41.125000,29.667200,10099800
1999-10-01,42.000000,43.500000,41.906250,43.015625,31.031069,8175200
1999-10-04,43.187500,45.250000,42.812500,45.218750,32.620399,8002400
1999-10-05,45.250000,47.062500,45.000000,46.937500,33.860271,10540600
1999-10-06,47.000000,47.000000,45.906250,46.156250,33.296707,7085600
1999-10-07,45.250000,45.687500,43.843750,43.968750,31.718643,8689000
1999-10-08,42.750000,43.062500,41.062500,43.000000,31.019789,20005200
1999-10-11,43.250000,45.250000,43.250000,45.093750,32.530201,7117600
1999-10-12,45.687500,46.531250,42.500000,42.500000,30.659107,9242800
1999-10-13,42.250000,43.406250,42.125000,42.750000,30.839447,9345800
1999-10-14,42.500000,42.968750,41.125000,42.500000,30.659107,7722000
1999-10-15,42.343750,42.687500,40.687500,41.250000,29.757341,11858200
1999-10-18,41.250000,42.250000,40.375000,42.218750,30.456205,9464000
1999-10-19,40.968750,42.406250,39.375000,39.750000,28.675276,24748000
1999-10-20,40.000000,40.843750,38.687500,40.000000,28.855627,21741600
1999-10-21,39.250000,39.281250,37.875000,39.000000,28.134228,16229000
1999-10-22,39.750000,40.468750,39.062500,39.062500,28.179310,8873800
1999-10-25,39.031250,40.406250,38.781250,39.812500,28.720362,7801600
1999-10-26,40.125000,41.000000,39.906250,39.937500,28.810532,6703400
1999-10-27,39.968750,40.093750,38.250000,38.875000,28.044064,10085000
1999-10-28,39.437500,42.093750,39.375000,41.750000,30.134726,11900200
1999-10-29,44.000000,45.250000,43.906250,44.875000,32.390320,11628000
1999-11-01,44.750000,45.187500,43.500000,43.500000,31.397865,10535600
1999-11-02,43.812500,45.250000,43.781250,44.437500,32.074551,8319600
1999-11-03,45.281250,46.500000,44.750000,45.812500,33.067001,8350200
1999-11-04,46.906250,48.125000,46.406250,47.968750,34.623356,10017600
1999-11-05,49.000000,49.312500,46.000000,46.718750,33.721123,8504600
1999-11-08,46.062500,47.125000,45.875000,46.125000,33.292568,6267200
1999-11-09,46.750000,47.375000,46.000000,46.718750,33.721123,6241000
1999-11-10,46.843750,48.968750,46.281250,48.687500,35.142155,9454000
1999-11-11,49.812500,51.250000,49.687500,50.718750,36.608273,9626800
1999-11-12,50.750000,51.000000,48.437500,50.375000,36.360153,8798800
1999-11-15,50.500000,50.593750,48.875000,49.312500,35.593262,5215400
1999-11-16,48.937500,50.437500,48.437500,50.437500,36.405289,6197400
1999-11-17,49.125000,49.703125,46.968750,47.468750,34.262466,9040600
1999-11-18,48.000000,49.875000,47.875000,49.062500,35.412811,8802200
1999-11-19,49.000000,49.750000,48.093750,49.093750,35.435368,7666000
1999-11-22,49.000000,49.718750,47.687500,49.625000,35.818825,7229000
1999-11-23,49.968750,51.250000,49.031250,49.843750,35.976738,8455600
1999-11-24,50.250000,51.406250,49.281250,50.515625,36.461662,5632400
1999-11-26,51.625000,52.375000,51.312500,51.531250,37.194733,3243000
1999-11-29,51.218750,52.468750,49.906250,50.000000,36.089493,7922000
1999-11-30,49.937500,51.062500,47.875000,48.031250,34.668472,7313200
1999-12-01,48.125000,49.656250,48.093750,49.625000,35.818825,7491600
1999-12-02,49.718750,50.750000,49.125000,49.953125,36.055672,5805200
1999-12-03,51.250000,51.875000,49.968750,50.687500,36.585735,8742200
1999-12-06,51.187500,53.656250,51.031250,53.656250,38.728531,8209600
1999-12-07,53.500000,53.750000,52.031250,52.187500,37.668415,7909400
1999-12-08,52.625000,55.656250,52.312500,54.242188,39.151470,8617000
1999-12-09,55.000000,55.750000,52.125000,53.500000,38.615746,11390200
1999-12-10,53.000000,53.843750,51.531250,53.437500,38.570641,6715600
1999-12-13,53.375000,54.437500,52.125000,53.039063,38.283062,5565200
1999-12-14,52.968750,53.000000,48.156250,48.281250,34.848915,11868400
1999-12-15,47.750000,49.250000,46.312500,47.812500,34.510593,16811000
1999-12-16,49.937500,50.437500,48.531250,50.031250,36.112053,12035800
1999-12-17,50.562500,51.312500,49.625000,50.968750,36.788727,9658400
1999-12-20,50.250000,50.937500,49.531250,50.195313,36.230453,5043400
1999-12-21,50.500000,53.312500,50.187500,53.312500,38.480404,8315600
1999-12-22,53.187500,54.500000,52.625000,53.875000,38.886433,6106000
1999-12-23,53.875000,54.062500,52.937500,53.750000,38.796204,4215200
1999-12-27,53.625000,53.625000,51.656250,53.500000,38.615746,5021200
1999-12-28,53.500000,54.250000,53.062500,53.687500,38.751080,3600800
1999-12-29,53.687500,53.812500,52.093750,53.093750,38.322540,2692400
1999-12-30,53.281250,53.625000,49.343750,49.687500,35.863937,8420400
1999-12-31,48.937500,49.281250,48.312500,48.312500,34.871471,5705600
2000-01-03,49.750000,51.937500,48.062500,51.437500,37.127056,10815600
2000-01-04,50.750000,50.812500,48.875000,49.250000,35.548161,7952400
2000-01-05,49.250000,49.625000,47.812500,48.062500,34.691021,12142400
2000-01-06,48.187500,48.750000,45.250000,46.750000,33.743664,11758400
2000-01-07,46.281250,47.562500,45.687500,47.000000,33.924118,12938800
2000-01-10,49.218750,50.625000,48.750000,50.218750,36.247391,9371200
2000-01-11,50.250000,51.437500,49.281250,49.750000,35.909035,7636400
2000-01-12,49.625000,51.531250,49.218750,50.500000,36.450386,6697600
2000-01-13,51.250000,51.906250,49.312500,51.187500,36.946617,6548200
2000-01-14,52.437500,54.062500,52.375000,53.937500,38.931538,8829000
2000-01-18,52.500000,55.687500,52.500000,55.187500,39.833797,8800800
2000-01-19,55.968750,56.000000,54.687500,54.750000,39.518002,6658400
2000-01-20,56.000000,57.531250,55.406250,56.437500,40.736023,9374600
2000-01-21,57.375000,57.562500,54.968750,55.398438,39.986023,8594600
2000-01-24,57.250000,58.750000,54.000000,55.437500,40.014221,10265000
2000-01-25,56.437500,58.625000,55.562500,56.937500,41.096912,15104800
2000-01-26,56.656250,56.750000,54.937500,56.250000,40.600685,8639600
2000-01-27,56.125000,58.250000,54.843750,56.500000,40.796722,9990800
2000-01-28,56.031250,56.625000,52.468750,53.562500,38.675652,9993400
2000-01-31,53.468750,54.000000,51.000000,53.875000,38.901291,9603000
2000-02-01,53.812500,56.687500,52.937500,56.562500,40.841843,7616600
2000-02-02,57.687500,60.250000,57.218750,59.687500,43.098312,10920800
2000-02-03,60.500000,67.250000,60.281250,67.000000,48.378422,14903400
2000-02-04,65.875000,69.500000,65.125000,66.000000,47.656342,11947600
2000-02-07,65.625000,67.718750,65.625000,67.250000,48.558941,7854400
2000-02-08,67.562500,69.812500,67.375000,69.437500,50.138485,7639600
2000-02-09,69.562500,71.562500,69.062500,70.437500,50.860508,9807600
2000-02-10,70.312500,72.500000,69.000000,72.500000,52.349754,6801800
2000-02-11,71.500000,71.625000,68.000000,68.812500,49.687164,8288600
2000-02-14,69.375000,69.625000,66.000000,67.312500,48.604038,8250200
2000-02-15,67.312500,67.906250,65.125000,67.468750,48.716873,7677600
2000-02-16,67.937500,69.875000,67.656250,67.875000,49.010227,8574000
2000-02-17,67.968750,72.500000,67.968750,71.500000,51.627689,8459800
2000-02-18,72.500000,72.500000,67.000000,67.000000,48.378422,9154600
2000-02-22,71.000000,75.000000,68.750000,74.500000,53.793900,15547200
2000-02-23,74.406250,76.562500,72.250000,73.562500,53.116982,11989800
2000-02-24,74.500000,79.500000,74.312500,78.875000,56.952934,13451600
2000-02-25,78.687500,80.375000,76.375000,76.625000,55.328278,9430200
2000-02-28,76.625000,78.750000,73.000000,77.937500,56.276009,12205400
2000-02-29,78.500000,84.843750,78.500000,83.062500,59.976582,11302200
2000-03-01,83.718750,85.000000,78.875000,82.187500,59.344791,10125800
